Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
0.4888916015625;20.2372869489058;0.0001087646484375;0.4888916015625;1;645;0.00114686381630599;-0.00311229688301683;100 µA
0.489959716796875;20.2586489488518;0.000108612060546875;0.489959716796875;1;646;0.00114686381630599;-0.00311229688301683;100 µA
0.49102783203125;20.2800109487979;0.00010845947265625;0.490997314453125;1;647;0.00114686381630599;-0.00311229688301683;100 µA
0.492095947265625;20.301372948744;0.000108306884765625;0.4920654296875;1;648;0.00114686381630599;-0.00311229688301683;100 µA
0.4931640625;20.32273494869;0.000108154296875;0.4931640625;1;649;0.00114686381630599;-0.00311229688301683;100 µA
0.494232177734375;20.3440969486361;0.000108001708984375;0.4942626953125;1;650;0.00114686381630599;-0.00311229688301683;100 µA
0.49530029296875;20.3654589485822;0.00010784912109375;0.495330810546875;1;651;0.00114686381630599;-0.00311229688301683;100 µA
0.496368408203125;20.3868209485282;0.00010772705078125;0.496337890625;1;652;0.00114686381630599;-0.00311229688301683;100 µA
0.4974365234375;20.4081829484743;0.0001075439453125;0.49749755859375;1;653;0.00114686381630599;-0.00311229688301683;100 µA
0.498504638671875;20.4295449484204;0.000107421875;0.498504638671875;1;654;0.00114686381630599;-0.00311229688301683;100 µA
0.49957275390625;20.4509069483664;0.0001072998046875;0.49957275390625;1;655;0.00114686381630599;-0.00311229688301683;100 µA
0.500640869140625;20.4722689483125;0.000107147216796875;0.500640869140625;1;656;0.00114686381630599;-0.00311229688301683;100 µA
0.501708984375;20.4936309482586;0.00010699462890625;0.501678466796875;1;657;0.00114686381630599;-0.00311229688301683;100 µA
0.502777099609375;20.5149929482046;0.00010687255859375;0.502777099609375;1;658;0.00114686381630599;-0.00311229688301683;100 µA
0.50384521484375;20.5363549481507;0.00010675048828125;0.503875732421875;1;659;0.00114686381630599;-0.00311229688301683;100 µA
0.504913330078125;20.5577169480968;0.000106597900390625;0.504913330078125;1;660;0.00114686381630599;-0.00311229688301683;100 µA
0.5059814453125;20.5790789480428;0.000106475830078125;0.5059814453125;1;661;0.00114686381630599;-0.00311229688301683;100 µA
0.507049560546875;20.6004409479889;0.000106353759765625;0.507049560546875;1;662;0.00114686381630599;-0.00311229688301683;100 µA
0.50811767578125;20.621802947935;0.000106201171875;0.508056640625;1;663;0.00114686381630599;-0.00311229688301683;100 µA
0.509185791015625;20.643164947881;0.0001060791015625;0.509185791015625;1;664;0.00114686381630599;-0.00311229688301683;100 µA
0.51025390625;20.6645269478271;0.00010595703125;0.510223388671875;1;665;0.00114686381630599;-0.00311229688301683;100 µA
0.511322021484375;20.6858889477732;0.0001058349609375;0.511322021484375;1;666;0.00114686381630599;-0.00311229688301683;100 µA
0.51239013671875;20.7072509477192;0.000105712890625;0.51239013671875;1;667;0.00114686381630599;-0.00311229688301683;100 µA
0.513458251953125;20.7286129476653;0.0001055908203125;0.51348876953125;1;668;0.00114686381630599;-0.00311229688301683;100 µA
0.5145263671875;20.7499749476113;0.00010546875;0.514556884765625;1;669;0.00114686381630599;-0.00311229688301683;100 µA
0.515594482421875;20.7713369475574;0.0001053466796875;0.515655517578125;1;670;0.00114686381630599;-0.00311229688301683;100 µA
0.51666259765625;20.7926989475035;0.000105255126953125;0.5167236328125;1;671;0.00114686381630599;-0.00311229688301683;100 µA
0.517730712890625;20.8140609474495;0.000105133056640625;0.517791748046875;1;672;0.00114686381630599;-0.00311229688301683;100 µA
0.518798828125;20.8354229473956;0.00010504150390625;0.518798828125;1;673;0.00114686381630599;-0.00311229688301683;100 µA
0.519866943359375;20.8567849473417;0.00010491943359375;0.5198974609375;1;674;0.00114686381630599;-0.00311229688301683;100 µA
0.52093505859375;20.8781469472877;0.00010479736328125;0.520965576171875;1;675;0.00114686381630599;-0.00311229688301683;100 µA
0.522003173828125;20.8995089472338;0.00010467529296875;0.52203369140625;1;676;0.00114686381630599;-0.00311229688301683;100 µA
0.5230712890625;20.9208709471799;0.000104583740234375;0.5230712890625;1;677;0.00114686381630599;-0.00311229688301683;100 µA
0.524139404296875;20.9422329471259;0.0001044921875;0.524139404296875;1;678;0.00114686381630599;-0.00311229688301683;100 µA
0.52520751953125;20.963594947072;0.0001043701171875;0.52520751953125;1;679;0.00114686381630599;-0.00311229688301683;100 µA
