Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-
-0.19683837890625;9.64829997564038;-0.00045147705078125;-0.19659423828125;2;1501;;
-0.195770263671875;9.65043597563499;-0.00044720458984375;-0.195587158203125;2;1502;;
-0.1947021484375;9.6525719756296;-0.000443084716796875;-0.194549560546875;2;1503;;
-0.193634033203125;9.65470797562421;-0.000439178466796875;-0.193511962890625;2;1504;;
-0.19256591796875;9.65684397561881;-0.0004359130859375;-0.192413330078125;2;1505;;
-0.191497802734375;9.65897997561342;-0.000432342529296875;-0.19134521484375;2;1506;;
-0.1904296875;9.66111597560803;-0.0004293212890625;-0.190216064453125;2;1507;;
-0.189361572265625;9.66325197560263;-0.000426300048828125;-0.189239501953125;2;1508;;
-0.18829345703125;9.66538797559724;-0.000423370361328125;-0.1881103515625;2;1509;;
-0.187225341796875;9.66752397559185;-0.00042047119140625;-0.187042236328125;2;1510;;
-0.1861572265625;9.66965997558646;-0.000417724609375;-0.186004638671875;2;1511;;
-0.185089111328125;9.67179597558106;-0.000414947509765625;-0.184967041015625;2;1512;;
-0.18402099609375;9.67393197557567;-0.000412567138671875;-0.183868408203125;2;1513;;
-0.182952880859375;9.67606797557028;-0.000409881591796875;-0.182830810546875;2;1514;;
-0.181884765625;9.67820397556488;-0.000407318115234375;-0.181732177734375;2;1515;;
-0.180816650390625;9.68033997555949;-0.000404937744140625;-0.1806640625;2;1516;;
-0.17974853515625;9.6824759755541;-0.00040264892578125;-0.17950439453125;2;1517;;
-0.178680419921875;9.68461197554871;-0.000400177001953125;-0.178466796875;2;1518;;
-0.1776123046875;9.68674797554331;-0.000398162841796875;-0.177459716796875;2;1519;;
-0.176544189453125;9.68888397553792;-0.000395751953125;-0.176422119140625;2;1520;;
-0.17547607421875;9.69101997553253;-0.000393524169921875;-0.17535400390625;2;1521;;
-0.174407958984375;9.69315597552713;-0.000391326904296875;-0.174224853515625;2;1522;;
-0.17333984375;9.69529197552174;-0.000389068603515625;-0.173187255859375;2;1523;;
-0.172271728515625;9.69742797551635;-0.00038690185546875;-0.172119140625;2;1524;;
-0.17120361328125;9.69956397551096;-0.00038482666015625;-0.1710205078125;2;1525;;
-0.170135498046875;9.70169997550556;-0.000382843017578125;-0.170013427734375;2;1526;;
-0.1690673828125;9.70383597550017;-0.000380828857421875;-0.168914794921875;2;1527;;
-0.167999267578125;9.70597197549478;-0.00037890625;-0.1678466796875;2;1528;;
-0.16693115234375;9.70810797548938;-0.000377044677734375;-0.166778564453125;2;1529;;
-0.165863037109375;9.71024397548399;-0.000375152587890625;-0.165679931640625;2;1530;;
-0.164794921875;9.7123799754786;-0.000373077392578125;-0.1646728515625;2;1531;;
-0.163726806640625;9.7145159754732;-0.0003712158203125;-0.163604736328125;2;1532;;
-0.16265869140625;9.71665197546781;-0.000369171142578125;-0.16259765625;2;1533;;
-0.161590576171875;9.71878797546242;-0.000367523193359375;-0.16143798828125;2;1534;;
-0.1605224609375;9.72092397545703;-0.000365509033203125;-0.160400390625;2;1535;;
-0.159454345703125;9.72305997545163;-0.00036376953125;-0.159332275390625;2;1536;;
-0.15838623046875;9.72519597544624;-0.00036199951171875;-0.158294677734375;2;1537;;
-0.157318115234375;9.72733197544085;-0.00036029052734375;-0.1572265625;2;1538;;
-0.15625;9.72946797543545;-0.0003585205078125;-0.156097412109375;2;1539;;
-0.155181884765625;9.73160397543006;-0.000357025146484375;-0.155059814453125;2;1540;;
-0.15411376953125;9.73373997542467;-0.00035516357421875;-0.154022216796875;2;1541;;
-0.153045654296875;9.73587597541928;-0.00035345458984375;-0.15289306640625;2;1542;;
-0.1519775390625;9.73801197541388;-0.000351593017578125;-0.15185546875;2;1543;;
-0.150909423828125;9.74014797540849;-0.00035009765625;-0.1507568359375;2;1544;;
-0.14984130859375;9.7422839754031;-0.00034844970703125;-0.149749755859375;2;1545;;
-0.148773193359375;9.7444199753977;-0.00034649658203125;-0.148651123046875;2;1546;;
-0.147705078125;9.74655597539231;-0.000345245361328125;-0.1475830078125;2;1547;;
-0.146636962890625;9.74869197538692;-0.000343536376953125;-0.14654541015625;2;1548;;
-0.14556884765625;9.75082797538153;-0.0003419189453125;-0.145416259765625;2;1549;;
-0.144500732421875;9.75296397537613;-0.000340240478515625;-0.144378662109375;2;1550;;
-0.1434326171875;9.75509997537074;-0.00033856201171875;-0.143310546875;2;1551;;
-0.142364501953125;9.75723597536535;-0.000337005615234375;-0.142242431640625;2;1552;;
-0.14129638671875;9.75937197535995;-0.000335540771484375;-0.14117431640625;2;1553;;
-0.140228271484375;9.76150797535456;-0.00033404541015625;-0.14007568359375;2;1554;;
-0.13916015625;9.76364397534917;-0.0003326416015625;-0.139007568359375;2;1555;;
-0.138092041015625;9.76577997534378;-0.00033087158203125;-0.138031005859375;2;1556;;
-0.13702392578125;9.76791597533838;-0.000329620361328125;-0.136932373046875;2;1557;;
-0.135955810546875;9.77005197533299;-0.00032806396484375;-0.13580322265625;2;1558;;
-0.1348876953125;9.7721879753276;-0.000326629638671875;-0.134796142578125;2;1559;;
-0.133819580078125;9.7743239753222;-0.000325164794921875;-0.133697509765625;2;1560;;
-0.13275146484375;9.77645997531681;-0.0003236083984375;-0.13262939453125;2;1561;;
-0.131683349609375;9.77859597531142;-0.00032220458984375;-0.131561279296875;2;1562;;
-0.130615234375;9.78073197530603;-0.00032080078125;-0.130523681640625;2;1563;;
-0.129547119140625;9.78286797530063;-0.000319366455078125;-0.129425048828125;2;1564;;
-0.12847900390625;9.78500397529524;-0.000317901611328125;-0.128387451171875;2;1565;;
-0.127410888671875;9.78713997528985;-0.00031658935546875;-0.127288818359375;2;1566;;
-0.1263427734375;9.78927597528445;-0.000315399169921875;-0.126220703125;2;1567;;
-0.125274658203125;9.79141197527906;-0.000313720703125;-0.12518310546875;2;1568;;
-0.12420654296875;9.79354797527367;-0.000312652587890625;-0.12408447265625;2;1569;;
-0.123138427734375;9.79568397526828;-0.00031103515625;-0.123046875;2;1570;;
-0.1220703125;9.79781997526288;-0.00030950927734375;-0.1219482421875;2;1571;;
-0.121002197265625;9.79995597525749;-0.000308074951171875;-0.120849609375;2;1572;;
-0.11993408203125;9.8020919752521;-0.00030682373046875;-0.11981201171875;2;1573;;
-0.118865966796875;9.8042279752467;-0.00030548095703125;-0.118743896484375;2;1574;;
-0.1177978515625;9.80636397524131;-0.000304046630859375;-0.11767578125;2;1575;;
-0.116729736328125;9.80849997523592;-0.000302703857421875;-0.1165771484375;2;1576;;
-0.11566162109375;9.81063597523053;-0.000301422119140625;-0.11553955078125;2;1577;;
-0.114593505859375;9.81277197522513;-0.000300018310546875;-0.114501953125;2;1578;;
-0.113525390625;9.81490797521974;-0.00029876708984375;-0.11346435546875;2;1579;;
-0.112457275390625;9.81704397521435;-0.0002972412109375;-0.11236572265625;2;1580;;
-0.11138916015625;9.81917997520895;-0.00029620361328125;-0.11126708984375;2;1581;;
-0.110321044921875;9.82131597520356;-0.00029498291015625;-0.1102294921875;2;1582;;
-0.1092529296875;9.82345197519817;-0.000293548583984375;-0.109161376953125;2;1583;;
-0.108184814453125;9.82558797519278;-0.000292388916015625;-0.108123779296875;2;1584;;
-0.10711669921875;9.82772397518738;-0.000291259765625;-0.10699462890625;2;1585;;
-0.106048583984375;9.82985997518199;-0.000289947509765625;-0.105987548828125;2;1586;;
-0.10498046875;9.8319959751766;-0.00028887939453125;-0.1048583984375;2;1587;;
-0.103912353515625;9.8341319751712;-0.00028759765625;-0.103790283203125;2;1588;;
-0.10284423828125;9.83626797516581;-0.00028619384765625;-0.102783203125;2;1589;;
-0.101776123046875;9.83840397516042;-0.00028497314453125;-0.1016845703125;2;1590;;
-0.1007080078125;9.84053997515502;-0.000283905029296875;-0.10064697265625;2;1591;;
-0.099639892578125;9.84267597514963;-0.00028265380859375;-0.099517822265625;2;1592;;
-0.09857177734375;9.84481197514424;-0.000281463623046875;-0.0985107421875;2;1593;;
-0.097503662109375;9.84694797513885;-0.000280120849609375;-0.097381591796875;2;1594;;
-0.096435546875;9.84908397513345;-0.000279205322265625;-0.096343994140625;2;1595;;
-0.095367431640625;9.85121997512806;-0.000277862548828125;-0.095367431640625;2;1596;;
-0.09429931640625;9.85335597512267;-0.000276611328125;-0.09423828125;2;1597;;
-0.093231201171875;9.85549197511727;-0.000275482177734375;-0.093109130859375;2;1598;;
-0.0921630859375;9.85762797511188;-0.000274383544921875;-0.09210205078125;2;1599;;
-0.091094970703125;9.85976397510649;-0.000273345947265625;-0.091094970703125;2;1600;;
-0.09002685546875;9.8618999751011;-0.000271820068359375;-0.0899658203125;2;1601;;
-0.088958740234375;9.8640359750957;-0.000270660400390625;-0.088897705078125;2;1602;;
-0.087890625;9.86617197509031;-0.00026959228515625;-0.087738037109375;2;1603;;
-0.086822509765625;9.86830797508492;-0.0002681884765625;-0.086761474609375;2;1604;;
-0.08575439453125;9.87044397507952;-0.0002672119140625;-0.085693359375;2;1605;;
-0.084686279296875;9.87257997507413;-0.00026605224609375;-0.084625244140625;2;1606;;
-0.0836181640625;9.87471597506874;-0.000264923095703125;-0.083526611328125;2;1607;;
-0.082550048828125;9.87685197506335;-0.000263641357421875;-0.082489013671875;2;1608;;
-0.08148193359375;9.87898797505795;-0.0002626953125;-0.081451416015625;2;1609;;
-0.080413818359375;9.88112397505256;-0.000261322021484375;-0.080291748046875;2;1610;;
-0.079345703125;9.88325997504717;-0.00026019287109375;-0.07928466796875;2;1611;;
-0.078277587890625;9.88539597504177;-0.00025927734375;-0.07818603515625;2;1612;;
-0.07720947265625;9.88753197503638;-0.000258087158203125;-0.0771484375;2;1613;;
-0.076141357421875;9.88966797503099;-0.000256988525390625;-0.076080322265625;2;1614;;
-0.0750732421875;9.8918039750256;-0.00025579833984375;-0.075042724609375;2;1615;;
-0.074005126953125;9.8939399750202;-0.000254852294921875;-0.073944091796875;2;1616;;
-0.07293701171875;9.89607597501481;-0.000253662109375;-0.072906494140625;2;1617;;
-0.071868896484375;9.89821197500942;-0.00025250244140625;-0.071807861328125;2;1618;;
-0.07080078125;9.90034797500402;-0.0002510986328125;-0.07073974609375;2;1619;;
-0.069732666015625;9.90248397499863;-0.000250274658203125;-0.06964111328125;2;1620;;
-0.06866455078125;9.90461997499324;-0.000249298095703125;-0.068603515625;2;1621;;
-0.067596435546875;9.90675597498785;-0.000248016357421875;-0.067535400390625;2;1622;;
-0.0665283203125;9.90889197498245;-0.000247100830078125;-0.066497802734375;2;1623;;
-0.065460205078125;9.91102797497706;-0.0002459716796875;-0.06536865234375;2;1624;;
-0.06439208984375;9.91316397497167;-0.00024505615234375;-0.0643310546875;2;1625;;
-0.063323974609375;9.91529997496627;-0.0002437744140625;-0.063232421875;2;1626;;
-0.062255859375;9.91743597496088;-0.000242828369140625;-0.0621337890625;2;1627;;
-0.061187744140625;9.91957197495549;-0.00024169921875;-0.061126708984375;2;1628;;
-0.06011962890625;9.9217079749501;-0.000240875244140625;-0.06005859375;2;1629;;
-0.059051513671875;9.9238439749447;-0.000239776611328125;-0.058990478515625;2;1630;;
-0.0579833984375;9.92597997493931;-0.0002386474609375;-0.05792236328125;2;1631;;
-0.056915283203125;9.92811597493392;-0.000237579345703125;-0.056793212890625;2;1632;;
-0.05584716796875;9.93025197492852;-0.00023663330078125;-0.05572509765625;2;1633;;
-0.054779052734375;9.93238797492313;-0.00023529052734375;-0.05474853515625;2;1634;;
-0.0537109375;9.93452397491774;-0.000234283447265625;-0.05364990234375;2;1635;;
-0.052642822265625;9.93665997491235;-0.0002332763671875;-0.052581787109375;2;1636;;
-0.05157470703125;9.93879597490695;-0.0002322998046875;-0.051544189453125;2;1637;;
-0.050506591796875;9.94093197490156;-0.000231201171875;-0.050445556640625;2;1638;;
-0.0494384765625;9.94306797489617;-0.00023028564453125;-0.0494049072265625;2;1639;;
-0.048370361328125;9.94520397489077;-0.00022918701171875;-0.048333740234375;2;1640;;
-0.04730224609375;9.94733997488538;-0.00022808837890625;-0.0472503662109375;2;1641;;
-0.046234130859375;9.94947597487999;-0.00022747802734375;-0.0461944580078125;2;1642;;
-0.045166015625;9.9516119748746;-0.000226348876953125;-0.04512939453125;2;1643;;
-0.044097900390625;9.9537479748692;-0.000225250244140625;-0.0440582275390625;2;1644;;
-0.04302978515625;9.95588397486381;-0.000224334716796875;-0.0429931640625;2;1645;;
-0.041961669921875;9.95801997485842;-0.000223358154296875;-0.04193115234375;2;1646;;
-0.0408935546875;9.96015597485302;-0.000222259521484375;-0.0408447265625;2;1647;;
-0.039825439453125;9.96229197484763;-0.00022113037109375;-0.0397796630859375;2;1648;;
-0.03875732421875;9.96442797484224;-0.000220458984375;-0.03873291015625;2;1649;;
-0.037689208984375;9.96656397483684;-0.000219207763671875;-0.0376617431640625;2;1650;;
-0.03662109375;9.96869997483145;-0.000218353271484375;-0.0365966796875;2;1651;;
-0.035552978515625;9.97083597482606;-0.000217254638671875;-0.035528564453125;2;1652;;
-0.03448486328125;9.97297197482067;-0.000216339111328125;-0.0344512939453125;2;1653;;
-0.033416748046875;9.97510797481527;-0.000215423583984375;-0.0333740234375;2;1654;;
-0.0323486328125;9.97724397480988;-0.00021429443359375;-0.032305908203125;2;1655;;
-0.031280517578125;9.97937997480449;-0.000213348388671875;-0.0312530517578125;2;1656;;
-0.03021240234375;9.98151597479909;-0.00021258544921875;-0.030181884765625;2;1657;;
-0.029144287109375;9.9836519747937;-0.0002115478515625;-0.0291168212890625;2;1658;;
-0.028076171875;9.98578797478831;-0.00021051025390625;-0.0280426025390625;2;1659;;
-0.027008056640625;9.98792397478292;-0.000209686279296875;-0.0269775390625;2;1660;;
-0.02593994140625;9.99005997477752;-0.000208587646484375;-0.0259002685546875;2;1661;;
-0.024871826171875;9.99219597477213;-0.0002076416015625;-0.02484130859375;2;1662;;
-0.0238037109375;9.99433197476674;-0.000206939697265625;-0.0237762451171875;2;1663;;
-0.022735595703125;9.99646797476134;-0.000205810546875;-0.022698974609375;2;1664;;
-0.02166748046875;9.99860397475595;-0.000204833984375;-0.0216217041015625;2;1665;;
-0.020599365234375;10.0007399747506;-0.000203857421875;-0.0205810546875;2;1666;;
-0.01953125;10.0028759747452;-0.00020306396484375;-0.0195037841796875;2;1667;;
-0.018463134765625;10.0050119747398;-0.000202056884765625;-0.0184478759765625;2;1668;;
-0.01739501953125;10.0071479747344;-0.000201171875;-0.0173675537109375;2;1669;;
-0.016326904296875;10.009283974729;-0.000200042724609375;-0.0163055419921875;2;1670;;
-0.0152587890625;10.0114199747236;-0.00019921875;-0.0152191162109375;2;1671;;
-0.014190673828125;10.0135559747182;-0.000198333740234375;-0.0141632080078125;2;1672;;
-0.01312255859375;10.0156919747128;-0.000197296142578125;-0.0131011962890625;2;1673;;
-0.012054443359375;10.0178279747074;-0.000196441650390625;-0.012017822265625;2;1674;;
-0.010986328125;10.019963974702;-0.00019573974609375;-0.0109588623046875;2;1675;;
-0.009918212890625;10.0220999746966;-0.00019482421875;-0.00989685058593751;2;1676;;
-0.00885009765625;10.0242359746912;-0.000193695068359375;-0.00882873535156251;2;1677;;
-0.007781982421875;10.0263719746858;-0.000192779541015625;-0.00777282714843749;2;1678;;
-0.0067138671875;10.0285079746805;-0.00019183349609375;-0.0066864013671875;2;1679;;
-0.005645751953125;10.0306439746751;-0.000191070556640625;-0.0056304931640625;2;1680;;
-0.00457763671875;10.0327799746697;-0.00018994140625;-0.00455627441406251;2;1681;;
-0.003509521484375;10.0349159746643;-0.000189178466796875;-0.00348815917968751;2;1682;;
-0.00244140625;10.0370519746589;-0.000188323974609375;-0.00242004394531251;2;1683;;
-0.001373291015625;10.0391879746535;-0.000187408447265625;-0.0013397216796875;2;1684;;
-0.00030517578125;10.0413239746481;-0.00018646240234375;-0.0002899169921875;2;1685;;
0.000762939453125;10.0434599746427;-0.00018560791015625;0.000805664062500003;2;1686;;
0.0018310546875;10.0455959746373;-0.00018475341796875;0.00185546875000001;2;1687;;
0.002899169921875;10.0477319746319;-0.000183807373046875;0.00292358398437501;2;1688;;
0.00396728515625;10.0498679746265;-0.0001827392578125;0.00398864746093749;2;1689;;
0.005035400390625;10.0520039746211;-0.0001820068359375;0.00505981445312501;2;1690;;
0.006103515625;10.0541399746157;-0.00018121337890625;0.0061309814453125;2;1691;;
0.007171630859375;10.0562759746103;-0.00018011474609375;0.00719604492187501;2;1692;;
0.00823974609375;10.058411974605;-0.000179229736328125;0.00826110839843749;2;1693;;
0.009307861328125;10.0605479745996;-0.000178497314453125;0.00934753417968751;2;1694;;
0.0103759765625;10.0626839745942;-0.00017755126953125;0.01041259765625;2;1695;;
0.011444091796875;10.0648199745888;-0.0001768798828125;0.011492919921875;2;1696;;
0.01251220703125;10.0669559745834;-0.00017572021484375;0.012542724609375;2;1697;;
0.013580322265625;10.069091974578;-0.000174896240234375;0.013623046875;2;1698;;
0.0146484375;10.0712279745726;-0.000174072265625;0.0146820068359375;2;1699;;
0.015716552734375;10.0733639745672;-0.000173126220703125;0.01575927734375;2;1700;;
0.01678466796875;10.0754999745618;-0.000172119140625;0.0168365478515625;2;1701;;
0.017852783203125;10.0776359745564;-0.000171417236328125;0.0179107666015625;2;1702;;
0.0189208984375;10.079771974551;-0.000170562744140625;0.0189605712890625;2;1703;;
0.019989013671875;10.0819079745456;-0.0001697998046875;0.02003173828125;2;1704;;
0.02105712890625;10.0840439745402;-0.000168853759765625;0.021087646484375;2;1705;;
