Potential;Current
-0.60397;2.68585e-4
-0.60287;2.67395e-4
-0.60159;2.68127e-4
-0.60095;2.78656e-4
-0.59976;2.77222e-4
-0.59866;2.75909e-4
-0.59784;2.742e-4
-0.59662;2.76581e-4
-0.59576;2.87079e-4
-0.59427;2.84027e-4
-0.59323;2.83264e-4
-0.59253;2.81067e-4
-0.59094;2.87109e-4
-0.59045;2.94952e-4
-0.58932;2.91595e-4
-0.58795;2.91412e-4
-0.58713;2.89795e-4
-0.58575;2.97485e-4
-0.58447;3.03192e-4
-0.58344;3.00018e-4
-0.58218;3.00415e-4
-0.58145;2.995e-4
-0.58041;3.08899e-4
-0.57898;3.12378e-4
-0.57834;3.10272e-4
-0.57684;3.10242e-4
-0.57578;3.10089e-4
-0.57489;3.20984e-4
-0.57385;3.22144e-4
-0.57278;3.20648e-4
-0.57172;3.20313e-4
-0.57092;3.21991e-4
-0.56967;3.33557e-4
-0.56848;3.32825e-4
-0.56726;3.32275e-4
-0.56644;3.31604e-4
-0.56512;3.35266e-4
-0.56479;3.46466e-4
-0.56305;3.44482e-4
-0.56213;3.45001e-4
-0.56104;3.43781e-4
-0.56003;3.50616e-4
-0.55902;3.59283e-4
-0.55801;3.5675e-4
-0.55658;3.58002e-4
-0.55585;3.57391e-4
-0.55469;3.66425e-4
-0.55344;3.72772e-4
-0.55246;3.70758e-4
-0.55142;3.72009e-4
-0.55023;3.72162e-4
-0.54959;3.8324e-4
-0.5481;3.87177e-4
-0.54715;3.8623e-4
-0.54599;3.87177e-4
-0.54495;3.88733e-4
-0.54395;4.0097e-4
-0.5426;4.02557e-4
-0.54178;4.02313e-4
-0.54041;4.03229e-4
-0.54001;4.06769e-4
-0.5386;4.19403e-4
-0.53769;4.19006e-4
-0.53619;4.20105e-4
-0.53528;4.20197e-4
-0.53387;4.26483e-4
-0.53281;4.38232e-4
-0.53226;4.36829e-4
-0.53104;4.38843e-4
-0.53021;4.38965e-4
-0.52917;4.48242e-4
-0.52774;4.56879e-4
-0.52698;4.55872e-4
-0.52588;4.58496e-4
-0.5246;4.59473e-4
-0.52371;4.70825e-4
-0.52271;4.76807e-4
-0.52145;4.76685e-4
-0.52045;4.79126e-4
-0.51913;4.80957e-4
-0.51846;4.94385e-4
-0.51721;4.98352e-4
-0.51614;4.99268e-4
-0.51526;5.01404e-4
-0.51437;5.05371e-4
-0.51285;5.19409e-4
-0.51205;5.20935e-4
-0.51096;5.22766e-4
-0.50961;5.24597e-4
-0.50891;5.31006e-4
-0.50797;5.45044e-4
-0.50647;5.45044e-4
-0.50574;5.48096e-4
-0.50446;5.49622e-4
-0.50336;5.59998e-4
-0.50198;5.70679e-4
-0.50156;5.70984e-4
-0.50003;5.74646e-4
-0.49863;5.77087e-4
-0.49817;5.896e-4
-0.49731;5.97839e-4
-0.49573;5.9906e-4
-0.49451;6.03027e-4
-0.4938;6.06689e-4
-0.49289;6.21033e-4
-0.49179;6.26526e-4
-0.49051;6.28967e-4
-0.48959;6.32629e-4
-0.4888;6.38123e-4
-0.48734;6.53687e-4
-0.48608;6.57349e-4
-0.48535;6.61011e-4
-0.4838;6.64673e-4
-0.48294;6.71997e-4
-0.48245;6.87866e-4
-0.48129;6.90002e-4
-0.4798;6.9458e-4
-0.47903;6.97937e-4
-0.4776;7.09229e-4
-0.47696;7.22656e-4
-0.47543;7.24792e-4
-0.47452;7.30286e-4
-0.47342;7.34253e-4
-0.47269;7.48596e-4
-0.47134;7.59277e-4
-0.47018;7.62329e-4
-0.46909;7.68127e-4
-0.46848;7.73315e-4
-0.4671;7.89795e-4
-0.46576;7.98035e-4
-0.46515;8.02307e-4
-0.46384;8.08105e-4
-0.46313;8.1543e-4
-0.46188;8.3313e-4
-0.46066;8.39233e-4
-0.45944;8.45032e-4
-0.45853;8.50525e-4
-0.45758;8.60596e-4
-0.45663;8.78601e-4
-0.45523;8.83179e-4
-0.45432;8.90198e-4
-0.45358;8.95691e-4
-0.45236;9.09729e-4
-0.45132;9.25598e-4
-0.44995;9.30176e-4
-0.44888;9.37805e-4
-0.44806;9.44519e-4
-0.44684;9.61304e-4
-0.44601;9.74731e-4
-0.44473;9.80225e-4
-0.44394;9.8877e-4
-0.4425;9.96704e-4
-0.4415;0.00102
-0.44022;0.00103
-0.43921;0.00103
-0.4382;0.00104
-0.43735;0.00105
-0.43613;0.00107
-0.43549;0.00108
-0.43402;0.00109
-0.43311;0.0011
-0.43182;0.00111
-0.43079;0.00113
-0.43011;0.00114
-0.42896;0.00115
-0.4277;0.00116
-0.42679;0.00118
-0.42575;0.00119
-0.42447;0.0012
-0.4231;0.00121
-0.42212;0.00122
-0.42105;0.00124
-0.42004;0.00126
-0.41901;0.00127
-0.41791;0.00128
-0.41702;0.00129
-0.41599;0.00131
-0.41501;0.00133
-0.41409;0.00134
-0.41296;0.00135
-0.41147;0.00136
-0.41025;0.00139
-0.40924;0.0014
-0.40829;0.00141
-0.40723;0.00142
-0.40613;0.00144
-0.40527;0.00147
-0.40433;0.00148
-0.40308;0.00149
-0.40204;0.0015
-0.40051;0.00152
-0.40009;0.00155
-0.39951;0.00156
-0.39774;0.00157
-0.39688;0.00159
-0.39572;0.00161
-0.39432;0.00163
-0.39316;0.00164
-0.39227;0.00166
-0.39136;0.00167
-0.39041;0.0017
-0.38928;0.00172
-0.3884;0.00173
-0.38721;0.00175
-0.38577;0.00176
-0.38516;0.00179
-0.384;0.00181
-0.38297;0.00182
-0.38217;0.00184
-0.38058;0.00186
-0.37973;0.00189
-0.3783;0.0019
-0.37726;0.00192
-0.37631;0.00194
-0.37534;0.00196
-0.37448;0.00199
-0.37317;0.002
-0.37222;0.00202
-0.37076;0.00204
-0.37;0.00207
-0.36902;0.00209
-0.36813;0.0021
-0.36716;0.00212
-0.36603;0.00214
-0.3649;0.00217
-0.36368;0.00219
-0.36301;0.00221
-0.36133;0.00223
-0.36038;0.00225
-0.35947;0.00228
-0.35855;0.0023
-0.35721;0.00232
-0.35602;0.00234
-0.35464;0.00237
-0.35382;0.0024
-0.35275;0.00242
-0.35202;0.00244
-0.35104;0.00246
-0.34988;0.00249
-0.34891;0.00251
-0.34778;0.00253
-0.34686;0.00255
-0.34558;0.00257
-0.34488;0.00261
-0.34384;0.00263
-0.34213;0.00265
-0.34149;0.00267
-0.34021;0.0027
-0.3392;0.00273
-0.33804;0.00275
-0.33664;0.00277
-0.33588;0.0028
-0.33469;0.00282
-0.33359;0.00286
-0.33261;0.00288
-0.33182;0.0029
-0.33057;0.00292
-0.3299;0.00295
-0.32849;0.00298
-0.32776;0.003
-0.3266;0.00303
-0.32562;0.00305
-0.32431;0.00308
-0.3233;0.00311
-0.32214;0.00313
-0.32074;0.00315
-0.31992;0.00318
-0.31885;0.00321
-0.31775;0.00324
-0.31656;0.00326
-0.31561;0.00328
-0.31476;0.00331
-0.31372;0.00334
-0.31244;0.00337
-0.31161;0.00339
-0.3107;0.00341
-0.30939;0.00344
-0.30856;0.00347
-0.30743;0.0035
-0.30615;0.00352
-0.30515;0.00354
-0.30377;0.00357
-0.3028;0.0036
-0.30164;0.00362
-0.30078;0.00365
-0.29968;0.00367
-0.29883;0.0037
-0.29791;0.00373
-0.29648;0.00375
-0.29565;0.00377
-0.2944;0.0038
-0.29327;0.00383
-0.29257;0.00385
-0.29099;0.00387
-0.29031;0.00389
-0.28925;0.00392
-0.28836;0.00395
-0.28668;0.00397
-0.28574;0.00399
-0.28461;0.00401
-0.28412;0.00403
-0.28278;0.00406
-0.28192;0.00408
-0.28073;0.0041
-0.27954;0.00412
-0.27847;0.00414
-0.27759;0.00416
-0.27646;0.00418
-0.27551;0.0042
-0.27444;0.00422
-0.27322;0.00424
-0.27179;0.00426
-0.27127;0.00428
-0.26996;0.00429
-0.26898;0.00431
-0.26761;0.00433
-0.26691;0.00435
-0.26575;0.00436
-0.26477;0.00438
-0.26364;0.00439
-0.26245;0.00441
-0.26123;0.00443
-0.26041;0.00444
-0.25961;0.00445
-0.25836;0.00447
-0.25702;0.00449
-0.25623;0.0045
-0.2551;0.00451
-0.25385;0.00452
-0.2525;0.00454
-0.25201;0.00455
-0.25104;0.00456
-0.24951;0.00458
-0.24866;0.00459
-0.2478;0.0046
-0.24658;0.00461
-0.24536;0.00462
-0.24475;0.00463
-0.24341;0.00464
-0.24219;0.00466
-0.24155;0.00467
-0.2402;0.00468
-0.23898;0.00469
-0.23813;0.0047
-0.237;0.00471
-0.23566;0.00472
-0.23499;0.00473
-0.23383;0.00473
-0.23282;0.00474
-0.23206;0.00476
-0.23062;0.00476
-0.22934;0.00477
-0.22873;0.00478
-0.22717;0.00479
-0.22647;0.0048
-0.22534;0.00481
-0.22424;0.00481
-0.22318;0.00482
-0.22198;0.00483
-0.2211;0.00484
-0.21979;0.00484
-0.21881;0.00485
-0.21796;0.00486
-0.21664;0.00487
-0.21582;0.00487
-0.21448;0.00488
-0.21359;0.00488
-0.21198;0.00489
-0.21152;0.0049
-0.2103;0.00491
-0.20923;0.00491
-0.20828;0.00492
-0.20715;0.00492
-0.20609;0.00493
-0.20517;0.00493
-0.20367;0.00494
-0.20294;0.00494
-0.20184;0.00495
-0.20081;0.00496
-0.19977;0.00496
-0.1987;0.00497
-0.19739;0.00497
-0.19653;0.00498
-0.19516;0.00498
-0.19446;0.00499
-0.19324;0.00499
-0.19223;0.005
-0.19101;0.005
-0.19003;0.00501
-0.18903;0.00501
-0.18835;0.00501
-0.18674;0.00502
-0.18573;0.00502
-0.18491;0.00503
-0.18314;0.00503
-0.18259;0.00504
-0.18137;0.00504
-0.18048;0.00505
-0.17935;0.00505
-0.17825;0.00505
-0.1774;0.00505
-0.17627;0.00506
-0.17545;0.00506
-0.17407;0.00507
-0.17288;0.00507
-0.17212;0.00507
-0.17065;0.00507
-0.16977;0.00508
-0.16879;0.00508
-0.16785;0.00508
-0.16666;0.00509
-0.16522;0.00509
-0.16437;0.00509
-0.16327;0.00509
-0.16254;0.0051
-0.16116;0.0051
-0.16025;0.0051
-0.15912;0.0051
-0.15802;0.00511
-0.1571;0.00511
-0.15616;0.00511
-0.15479;0.00511
-0.15396;0.00512
-0.15308;0.00512
-0.15137;0.00512
-0.15051;0.00512
-0.14932;0.00512
-0.14841;0.00512
-0.14716;0.00513
-0.14645;0.00513
-0.14526;0.00513
-0.1442;0.00513
-0.14307;0.00513
-0.14203;0.00513
-0.14117;0.00513
-0.13989;0.00513
-0.13895;0.00514
-0.13803;0.00514
-0.13696;0.00514
-0.13589;0.00514
-0.1344;0.00514
