Potential;Current
-0.60382;5.06592e-4
-0.60275;5.13e-4
-0.60168;5.19409e-4
-0.60059;5.25513e-4
-0.59958;5.32227e-4
-0.59851;5.3894e-4
-0.59744;5.45349e-4
-0.59641;5.52063e-4
-0.59531;5.58472e-4
-0.59427;5.65186e-4
-0.59317;5.72205e-4
-0.59207;5.79224e-4
-0.59109;5.86548e-4
-0.58997;5.93567e-4
-0.5889;6.00586e-4
-0.58777;6.08215e-4
-0.58676;6.1554e-4
-0.58566;6.22864e-4
-0.58469;6.30493e-4
-0.5835;6.37817e-4
-0.58246;6.45752e-4
-0.58142;6.53687e-4
-0.58035;6.61316e-4
-0.57928;6.6925e-4
-0.57822;6.77185e-4
-0.57715;6.85425e-4
-0.57608;6.93665e-4
-0.57504;7.01904e-4
-0.57397;7.10144e-4
-0.57288;7.18384e-4
-0.57181;7.26929e-4
-0.57074;7.35474e-4
-0.56967;7.44019e-4
-0.5686;7.52869e-4
-0.56754;7.61719e-4
-0.56647;7.70874e-4
-0.56537;7.79724e-4
-0.56436;7.88879e-4
-0.56323;7.98035e-4
-0.56219;8.07495e-4
-0.56113;8.1665e-4
-0.56006;8.26416e-4
-0.55899;8.35876e-4
-0.55792;8.45337e-4
-0.55685;8.55103e-4
-0.55576;8.65173e-4
-0.55469;8.75244e-4
-0.55365;8.8501e-4
-0.55264;8.95081e-4
-0.55148;9.05151e-4
-0.55048;9.15527e-4
-0.54938;9.25903e-4
-0.54837;9.36279e-4
-0.54727;9.4696e-4
-0.5462;9.57947e-4
-0.54507;9.68628e-4
-0.54404;9.79614e-4
-0.54294;9.90295e-4
-0.5419;0.001
-0.54083;0.00101
-0.53979;0.00102
-0.53864;0.00104
-0.53766;0.00105
-0.53656;0.00106
-0.53552;0.00107
-0.53439;0.00108
-0.53342;0.00109
-0.53229;0.00111
-0.53119;0.00112
-0.53018;0.00113
-0.52911;0.00114
-0.52808;0.00115
-0.52698;0.00117
-0.52588;0.00118
-0.52478;0.00119
-0.52374;0.00121
-0.52277;0.00122
-0.52167;0.00123
-0.52057;0.00124
-0.5195;0.00126
-0.5184;0.00127
-0.51733;0.00128
-0.5163;0.0013
-0.51526;0.00131
-0.51416;0.00132
-0.51312;0.00134
-0.51205;0.00135
-0.51099;0.00137
-0.50995;0.00138
-0.50885;0.00139
-0.50781;0.00141
-0.50671;0.00142
-0.50568;0.00144
-0.50458;0.00145
-0.50348;0.00147
-0.50241;0.00148
-0.5014;0.0015
-0.50031;0.00151
-0.49921;0.00153
-0.4982;0.00154
-0.49713;0.00156
-0.49603;0.00157
-0.49503;0.00159
-0.49393;0.00161
-0.49283;0.00162
-0.49185;0.00164
-0.49075;0.00165
-0.48962;0.00167
-0.48856;0.00169
-0.48755;0.0017
-0.48645;0.00172
-0.48532;0.00173
-0.48428;0.00175
-0.48328;0.00177
-0.48218;0.00178
-0.48111;0.0018
-0.48004;0.00182
-0.479;0.00184
-0.47787;0.00185
-0.47684;0.00187
-0.47583;0.00189
-0.4747;0.00191
-0.47366;0.00192
-0.4726;0.00194
-0.47153;0.00196
-0.47043;0.00198
-0.46936;0.00199
-0.46832;0.00201
-0.46722;0.00203
-0.46619;0.00205
-0.46515;0.00207
-0.46405;0.00209
-0.46298;0.0021
-0.46191;0.00212
