Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;WE(2).Current (A);Current range
0.5804443359375;144.524331635111;0.000353057861328125;0.58056640625;8;0.00040435791015625;1 mA
0.5780029296875;144.646401634803;0.00035418701171875;0.57843017578125;9;0.0006048583984375;1 mA
0.5755615234375;144.768471634495;0.0003502197265625;0.575653076171875;10;0.0003055419921875;1 mA
0.5731201171875;144.890541634187;0.000345306396484375;0.57330322265625;11;0.000288909912109375;1 mA
0.5706787109375;145.012611633878;0.00034033203125;0.570770263671875;12;0.000290618896484375;1 mA
0.5682373046875;145.13468163357;0.000379241943359375;0.568450927734375;13;0.00040753173828125;1 mA
0.5657958984375;145.256751633262;0.000380035400390625;0.56597900390625;14;0.00050506591796875;1 mA
0.5633544921875;145.378821632954;0.000382904052734375;0.56341552734375;15;0.000291473388671875;1 mA
0.5609130859375;145.500891632646;0.000373138427734375;0.561065673828125;16;0.000395782470703125;1 mA
0.5584716796875;145.622961632337;0.000347412109375;0.55859375;17;0.00038238525390625;1 mA
0.5560302734375;145.745031632029;0.000376617431640625;0.55615234375;18;0.000516357421875;1 mA
0.5535888671875;145.867101631721;0.000360626220703125;0.553619384765625;19;0.000317474365234375;1 mA
0.5511474609375;145.989171631413;0.000367706298828125;0.55126953125;20;0.00039154052734375;1 mA
0.5487060546875;146.111241631105;0.000344879150390625;0.54888916015625;21;0.00040496826171875;1 mA
0.5462646484375;146.233311630796;0.000364013671875;0.546356201171875;22;0.000363861083984375;1 mA
0.5438232421875;146.355381630488;0.000362518310546875;0.543914794921875;23;0.00036517333984375;1 mA
0.5413818359375;146.47745163018;0.000378021240234375;0.541412353515625;24;0.00034515380859375;1 mA
0.5389404296875;146.599521629872;0.000371337890625;0.538909912109375;25;0.00049835205078125;1 mA
0.5364990234375;146.721591629564;0.000348419189453125;0.536651611328125;26;0.00037689208984375;1 mA
0.5340576171875;146.843661629255;0.00036279296875;0.534149169921875;27;0.000315155029296875;1 mA
0.5316162109375;146.965731628947;0.000359710693359375;0.531646728515625;28;0.00040625;1 mA
0.5291748046875;147.087801628639;0.0003406982421875;0.5291748046875;29;0.00043212890625;1 mA
0.5267333984375;147.209871628331;0.00032958984375;0.526885986328125;30;0.000341644287109375;1 mA
0.5242919921875;147.331941628023;0.00035491943359375;0.524383544921875;31;0.00035125732421875;1 mA
0.5218505859375;147.454011627714;0.00035888671875;0.521820068359375;32;0.00033428955078125;1 mA
0.5194091796875;147.576081627406;0.000347076416015625;0.51947021484375;33;0.00049285888671875;1 mA
0.5169677734375;147.698151627098;0.00032769775390625;0.51715087890625;34;0.00045135498046875;1 mA
0.5145263671875;147.82022162679;0.00033343505859375;0.514617919921875;35;0.0003680419921875;1 mA
0.5120849609375;147.942291626482;0.00034405517578125;0.512115478515625;36;0.000422027587890625;1 mA
0.5096435546875;148.064361626173;0.000323394775390625;0.509796142578125;37;0.000341033935546875;1 mA
0.5072021484375;148.186431625865;0.00036761474609375;0.507293701171875;38;0.0007147216796875;1 mA
0.5047607421875;148.308501625557;0.000327606201171875;0.5048828125;39;0.0003514404296875;1 mA
0.5023193359375;148.430571625249;0.0003173828125;0.50244140625;40;0.00032635498046875;1 mA
0.4998779296875;148.552641624941;0.000309539794921875;0.499969482421875;41;0.000340576171875;1 mA
0.4974365234375;148.674711624632;0.000324371337890625;0.497894287109375;42;0.0006103515625;1 mA
0.4949951171875;148.796781624324;0.000323211669921875;0.4951171875;43;0.000343414306640625;1 mA
0.4925537109375;148.918851624016;0.000350067138671875;0.49267578125;44;0.00038116455078125;1 mA
0.4901123046875;149.040921623708;0.000309051513671875;0.49017333984375;45;0.000347625732421875;1 mA
0.4876708984375;149.1629916234;0.000314361572265625;0.487762451171875;46;0.00054046630859375;1 mA
0.4852294921875;149.285061623091;0.000317718505859375;0.485260009765625;47;0.0003360595703125;1 mA
0.4827880859375;149.407131622783;0.00029901123046875;0.482879638671875;48;0.000327667236328125;1 mA
0.4803466796875;149.529201622475;0.00030413818359375;0.480499267578125;49;0.00036468505859375;1 mA
0.4779052734375;149.651271622167;0.0003017578125;0.47772216796875;50;0.000402313232421875;1 mA
0.4754638671875;149.773341621859;0.000321929931640625;0.475494384765625;51;0.00044671630859375;1 mA
0.4730224609375;149.89541162155;0.000338836669921875;0.473052978515625;52;0.000334869384765625;1 mA
0.4705810546875;150.017481621242;0.000301422119140625;0.470672607421875;53;0.0003450927734375;1 mA
0.4681396484375;150.139551620934;0.00029083251953125;0.468231201171875;54;0.000349212646484375;1 mA
0.4656982421875;150.261621620626;0.00029962158203125;0.465728759765625;55;0.000343963623046875;1 mA
0.4632568359375;150.383691620318;0.000293426513671875;0.463348388671875;56;0.000371673583984375;1 mA
0.4608154296875;150.505761620009;0.000291900634765625;0.46087646484375;57;0.00036016845703125;1 mA
0.4583740234375;150.627831619701;0.000287506103515625;0.458465576171875;58;0.000343902587890625;1 mA
0.4559326171875;150.749901619393;0.000308013916015625;0.45611572265625;59;0.00054046630859375;1 mA
0.4534912109375;150.871971619085;0.000328369140625;0.453582763671875;60;0.000337982177734375;1 mA
0.4510498046875;150.994041618777;0.00027569580078125;0.4510498046875;61;0.000334991455078125;1 mA
0.4486083984375;151.116111618468;0.000271392822265625;0.44866943359375;62;0.000330535888671875;1 mA
0.4461669921875;151.23818161816;0.0002723388671875;0.4462890625;63;0.000324981689453125;1 mA
0.4437255859375;151.360251617852;0.0002615966796875;0.443817138671875;64;0.000318817138671875;1 mA
0.4412841796875;151.482321617544;0.000287841796875;0.441314697265625;65;0.00045135498046875;1 mA
0.4388427734375;151.604391617236;0.000277374267578125;0.43896484375;66;0.0003924560546875;1 mA
0.4364013671875;151.726461616928;0.00026019287109375;0.436492919921875;67;0.0003250732421875;1 mA
