Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;WE(2).Current (A);Current range
0.5950927734375;10.9612409723255;7.965087890625E-05;0.595184326171875;2;5.8319091796875E-05;100 µA
0.5926513671875;11.0833109720173;7.94677734375E-05;0.592681884765625;3;6.109619140625E-05;100 µA
0.5902099609375;11.2053809717091;7.9803466796875E-05;0.590301513671875;4;6.2225341796875E-05;100 µA
0.5877685546875;11.3274509714009;8.050537109375E-05;0.587860107421875;5;6.231689453125E-05;100 µA
0.5853271484375;11.4495209710927;8.111572265625E-05;0.585357666015625;6;6.378173828125E-05;100 µA
0.5828857421875;11.5715909707845;8.203125E-05;0.582916259765625;7;6.640625E-05;100 µA
0.5804443359375;11.6936609704763;8.245849609375E-05;0.580535888671875;8;6.878662109375E-05;100 µA
0.5780029296875;11.8157309701681;8.209228515625E-05;0.57806396484375;9;7.0709228515625E-05;100 µA
0.5755615234375;11.9378009698599;8.1329345703125E-05;0.575653076171875;10;7.0068359375E-05;100 µA
0.5731201171875;12.0598709695518;8.0902099609375E-05;0.5731201171875;11;6.8878173828125E-05;100 µA
0.5706787109375;12.1819409692436;8.0780029296875E-05;0.570709228515625;12;6.8206787109375E-05;100 µA
0.5682373046875;12.3040109689354;8.0108642578125E-05;0.56829833984375;13;6.817626953125E-05;100 µA
0.5657958984375;12.4260809686272;7.9833984375E-05;0.565887451171875;14;6.8450927734375E-05;100 µA
0.5633544921875;12.548150968319;7.9559326171875E-05;0.563385009765625;15;6.7901611328125E-05;100 µA
0.5609130859375;12.6702209680108;7.9345703125E-05;0.56097412109375;16;6.744384765625E-05;100 µA
0.5584716796875;12.7922909677026;7.940673828125E-05;0.55859375;17;6.6986083984375E-05;100 µA
0.5560302734375;12.9143609673944;7.9132080078125E-05;0.55609130859375;18;6.719970703125E-05;100 µA
0.5535888671875;13.0364309670862;7.9071044921875E-05;0.55364990234375;19;6.7626953125E-05;100 µA
0.5511474609375;13.158500966778;7.879638671875E-05;0.55120849609375;20;6.8572998046875E-05;100 µA
0.5487060546875;13.2805709664698;7.9071044921875E-05;0.548828125;21;6.951904296875E-05;100 µA
0.5462646484375;13.4026409661616;7.952880859375E-05;0.54632568359375;22;7.0343017578125E-05;100 µA
0.5438232421875;13.5247109658534;7.9925537109375E-05;0.54388427734375;23;7.122802734375E-05;100 µA
0.5413818359375;13.6467809655452;7.9925537109375E-05;0.54144287109375;24;7.196044921875E-05;100 µA
0.5389404296875;13.768850965237;7.977294921875E-05;0.53900146484375;25;7.2357177734375E-05;100 µA
0.5364990234375;13.8909209649288;7.965087890625E-05;0.53656005859375;26;7.2723388671875E-05;100 µA
0.5340576171875;14.0129909646206;7.9620361328125E-05;0.53411865234375;27;7.330322265625E-05;100 µA
0.5316162109375;14.1350609643124;7.9742431640625E-05;0.53167724609375;28;7.38525390625E-05;100 µA
0.5291748046875;14.2571309640042;7.940673828125E-05;0.529266357421875;29;7.4554443359375E-05;100 µA
0.5267333984375;14.379200963696;7.89794921875E-05;0.526824951171875;30;7.50732421875E-05;100 µA
0.5242919921875;14.5012709633878;7.855224609375E-05;0.52435302734375;31;7.5775146484375E-05;100 µA
0.5218505859375;14.6233409630796;7.8369140625E-05;0.521881103515625;32;7.5714111328125E-05;100 µA
0.5194091796875;14.7454109627714;7.8094482421875E-05;0.519439697265625;33;7.6507568359375E-05;100 µA
0.5169677734375;14.8674809624632;7.7545166015625E-05;0.51702880859375;34;7.684326171875E-05;100 µA
0.5145263671875;14.989550962155;7.7362060546875E-05;0.51458740234375;35;7.7423095703125E-05;100 µA
0.5120849609375;15.1116209618468;7.6812744140625E-05;0.512115478515625;36;7.806396484375E-05;100 µA
0.5096435546875;15.2336909615386;7.6416015625E-05;0.509674072265625;37;7.867431640625E-05;100 µA
0.5072021484375;15.3557609612304;7.598876953125E-05;0.507232666015625;38;7.958984375E-05;100 µA
0.5047607421875;15.4778309609222;7.55615234375E-05;0.504852294921875;39;8.038330078125E-05;100 µA
0.5023193359375;15.599900960614;7.5469970703125E-05;0.50238037109375;40;8.1390380859375E-05;100 µA
0.4998779296875;15.7219709603058;7.5225830078125E-05;0.499908447265625;41;8.203125E-05;100 µA
