0RPM	0RPM	0RPM	100RPM	100RPM	100RPM	400RPM	400RPM	400RPM	900RPM	900RPM	900RPM	1600RPM	1600RPM	1600RPM	2500RPM	2500RPM	2500RPM
0.437012	1.00861E-7	3.07312E-7	0.437012	3.29529E-6	1.14655E-6	0.437012	3.30139E-6	1.08185E-6	0.437012	4.71802E-6	1.74866E-6	0.437012	7.39746E-6	2.87415E-6	0.437012	8.4137E-6	3.04382E-6
0.43457	-2.41089E-7	2.31964E-7	0.43457	3.1546E-6	1.44928E-6	0.43457	3.45612E-6	1.60217E-6	0.43457	5.32227E-6	1.92261E-6	0.43457	7.06177E-6	2.34589E-6	0.43457	8.09326E-6	3.26813E-6
0.432129	-4.79126E-8	2.50031E-7	0.432129	3.06824E-6	1.073E-6	0.432129	3.06183E-6	9.9823E-7	0.432129	4.72107E-6	1.89911E-6	0.432129	7.39746E-6	2.95776E-6	0.432129	8.0719E-6	2.92145E-6
0.429688	-2.13318E-7	2.91931E-7	0.429688	3.26691E-6	1.53259E-6	0.429688	3.48114E-6	1.66718E-6	0.429688	5.07202E-6	1.79596E-6	0.429688	6.86035E-6	2.30957E-6	0.429688	8.13293E-6	3.39172E-6
0.427246	-2.12097E-7	1.74561E-7	0.427246	2.86377E-6	9.95483E-7	0.427246	2.88208E-6	9.59167E-7	0.427246	4.83704E-6	2.04956E-6	0.427246	7.31201E-6	2.96051E-6	0.427246	7.79114E-6	2.79602E-6
0.424805	-2.32239E-7	3.63159E-7	0.424805	3.22113E-6	1.57715E-6	0.424805	3.45001E-6	1.67053E-6	0.424805	4.776E-6	1.64764E-6	0.424805	6.67419E-6	2.35199E-6	0.424805	8.12073E-6	3.49915E-6
0.422363	-3.97339E-7	1.0965E-7	0.422363	2.69196E-6	9.77173E-7	0.422363	2.72919E-6	9.84192E-7	0.422363	4.90723E-6	2.19299E-6	0.422363	7.27234E-6	2.88513E-6	0.422363	7.58057E-6	2.78412E-6
0.419922	-2.9541E-7	4.11377E-7	0.419922	3.19855E-6	1.58325E-6	0.419922	3.40729E-6	1.61194E-6	0.419922	4.5105E-6	1.56494E-6	0.419922	6.5033E-6	2.47925E-6	0.419922	8.09021E-6	3.48969E-6
0.41748	-5.5603E-7	8.26111E-8	0.41748	2.52533E-6	9.83582E-7	0.41748	2.61139E-6	1.09039E-6	0.41748	4.87976E-6	2.26349E-6	0.41748	7.04041E-6	2.78015E-6	0.41748	7.35168E-6	2.86316E-6
0.415039	-3.63159E-7	4.1626E-7	0.415039	3.0896E-6	1.54083E-6	0.415039	3.24188E-6	1.50818E-6	0.415039	4.2572E-6	1.54816E-6	0.415039	6.37207E-6	2.64221E-6	0.415039	7.94373E-6	3.44055E-6
0.412598	-7.08923E-7	1.07574E-7	0.412598	2.40845E-6	1.10352E-6	0.412598	2.54425E-6	1.23199E-6	0.412598	4.80347E-6	2.2641E-6	0.412598	6.7749E-6	2.68677E-6	0.412598	7.1106E-6	2.99957E-6
0.410156	-4.58069E-7	3.95508E-7	0.410156	2.91962E-6	1.41815E-6	0.410156	2.99225E-6	1.34003E-6	0.410156	4.05975E-6	1.6275E-6	0.410156	6.35986E-6	2.81281E-6	0.410156	7.71179E-6	3.35083E-6
0.407715	-8.88367E-7	1.33667E-7	0.407715	2.3111E-6	1.26343E-6	0.407715	2.50732E-6	1.40076E-6	0.407715	4.68445E-6	2.20764E-6	0.407715	6.40869E-6	2.58057E-6	0.407715	6.98853E-6	3.17535E-6
0.405273	-6.14319E-7	3.4729E-7	0.405273	2.68372E-6	1.26343E-6	0.405273	2.67151E-6	1.17889E-6	0.405273	3.87573E-6	1.75415E-6	0.405273	6.25305E-6	2.91718E-6	0.405273	7.43408E-6	3.22937E-6
0.402832	-1.03394E-6	1.82709E-7	0.402832	2.28516E-6	1.40717E-6	0.402832	2.5235E-6	1.55731E-6	0.402832	4.44336E-6	2.07855E-6	0.402832	5.92651E-6	2.48322E-6	0.402832	6.88477E-6	3.36884E-6
0.400391	-8.27942E-7	2.78259E-7	0.400391	2.31384E-6	1.17004E-6	0.400391	2.27386E-6	1.08978E-6	0.400391	3.76312E-6	1.93329E-6	0.400391	6.11572E-6	3.06702E-6	0.400391	6.90002E-6	3.14148E-6
0.397949	-1.13831E-6	2.53632E-7	0.397949	2.2641E-6	1.49597E-6	0.397949	2.47711E-6	1.66077E-6	0.397949	4.11072E-6	1.9397E-6	0.397949	5.58472E-6	2.48505E-6	0.397949	6.72607E-6	3.5675E-6
0.395508	-1.0907E-6	2.30316E-7	0.395508	1.93146E-6	1.08368E-6	0.395508	1.95282E-6	1.02081E-6	0.395508	3.68652E-6	2.11609E-6	0.395508	5.92651E-6	3.15826E-6	0.395508	6.39343E-6	3.09082E-6
0.393066	-1.30737E-6	3.21655E-7	0.393066	2.13806E-6	1.59546E-6	0.393066	2.34192E-6	1.72211E-6	0.393066	3.66241E-6	1.82281E-6	0.393066	5.22766E-6	2.54486E-6	0.393066	6.5033E-6	3.70514E-6
0.390625	-1.43219E-6	1.43921E-7	0.390625	1.604E-6	1.04218E-6	0.390625	1.60583E-6	1.00067E-6	0.390625	3.57758E-6	2.2525E-6	0.390625	5.6366E-6	3.16559E-6	0.390625	5.87463E-6	3.05145E-6
0.388184	-1.48804E-6	3.79333E-7	0.388184	1.92108E-6	1.63757E-6	0.388184	2.10358E-6	1.71295E-6	0.388184	3.16833E-6	1.74286E-6	0.388184	4.7699E-6	2.67548E-6	0.388184	6.15845E-6	3.79333E-6
0.385742	-1.74957E-6	1.03546E-7	0.385742	1.23383E-6	1.01837E-6	0.385742	1.27167E-6	1.07574E-6	0.385742	3.3371E-6	2.37244E-6	0.385742	5.19714E-6	3.10913E-6	0.385742	5.30701E-6	3.17352E-6
0.383301	-1.73462E-6	4.0802E-7	0.383301	1.6452E-6	1.64886E-6	0.383301	1.77673E-6	1.64398E-6	0.383301	2.67639E-6	1.7218E-6	0.383301	4.36707E-6	2.86591E-6	0.383301	5.69458E-6	3.83606E-6
0.380859	-2.12708E-6	9.37805E-8	0.380859	8.40149E-7	1.07849E-6	0.380859	9.34143E-7	1.19202E-6	0.380859	3.00201E-6	2.46582E-6	0.380859	4.58374E-6	3.02795E-6	0.380859	4.66309E-6	3.31055E-6
0.378418	-2.05048E-6	3.90015E-7	0.378418	1.2323E-6	1.58539E-6	0.378418	1.30951E-6	1.54449E-6	0.378418	2.16736E-6	1.77002E-6	0.378418	3.95508E-6	3.0777E-6	0.378418	5.00488E-6	3.81775E-6
0.375977	-2.52777E-6	9.72595E-8	0.375977	4.65698E-7	1.22406E-6	0.375977	5.96313E-7	1.37085E-6	0.375977	2.55341E-6	2.4408E-6	0.375977	3.8205E-6	2.93549E-6	0.375977	4.09241E-6	3.52478E-6
0.373535	-2.43103E-6	3.74451E-7	0.373535	7.13501E-7	1.4566E-6	0.373535	7.24792E-7	1.38153E-6	0.373535	1.60187E-6	1.92108E-6	0.373535	3.40179E-6	3.26721E-6	0.373535	4.18701E-6	3.78326E-6
0.371094	-2.99835E-6	1.39282E-7	0.371094	5.79834E-8	1.40686E-6	0.371094	2.56958E-7	1.56097E-6	0.371094	1.93024E-6	2.37396E-6	0.371094	2.91992E-6	2.99255E-6	0.371094	3.38562E-6	3.82568E-6
0.368652	-2.94037E-6	3.21045E-7	0.368652	4.57764E-8	1.33301E-6	0.368652	-1.00708E-8	1.28052E-6	0.368652	1.06689E-6	2.12646E-6	0.368652	2.78137E-6	3.51135E-6	0.368652	3.11035E-6	3.76495E-6
0.366211	-3.48907E-6	2.0462E-7	0.366211	-3.6499E-7	1.5509E-6	0.366211	-1.69983E-7	1.73676E-6	0.366211	1.14532E-6	2.29919E-6	0.366211	1.98364E-6	2.96967E-6	0.366211	2.62543E-6	4.13208E-6
0.36377	-3.59528E-6	2.58148E-7	0.36377	-7.60498E-7	1.26434E-6	0.36377	-8.06274E-7	1.2027E-6	0.36377	4.5929E-7	2.3349E-6	0.36377	1.90948E-6	3.70575E-6	0.36377	1.95343E-6	3.74359E-6
0.361328	-4.02679E-6	2.64099E-7	0.361328	-9.10034E-7	1.66779E-6	0.361328	-7.71179E-7	1.83319E-6	0.361328	1.42517E-7	2.22931E-6	0.361328	9.17969E-7	3.15063E-6	0.361328	1.64124E-6	4.3335E-6
0.358887	-4.34875E-6	1.86401E-7	0.358887	-1.61469E-6	1.21277E-6	0.358887	-1.63544E-6	1.18286E-6	0.358887	-2.76184E-7	2.56653E-6	0.358887	8.56934E-7	3.80341E-6	0.358887	6.03943E-7	3.87878E-6
0.356445	-4.67834E-6	3.34778E-7	0.356445	-1.6687E-6	1.75934E-6	0.356445	-1.53625E-6	1.91071E-6	0.356445	-9.75037E-7	2.20673E-6	0.356445	-3.18298E-7	3.2959E-6	0.356445	3.6438E-7	4.65698E-6
0.354004	-5.24902E-6	1.22009E-7	0.354004	-2.58209E-6	1.18134E-6	0.354004	-2.57385E-6	1.23169E-6	0.354004	-1.20972E-6	2.79938E-6	0.354004	-4.59595E-7	3.93066E-6	0.354004	-8.95691E-7	4.06494E-6
0.351563	-5.55725E-6	3.9032E-7	0.351563	-2.63275E-6	1.86615E-6	0.351563	-2.53052E-6	1.93542E-6	0.351563	-2.21924E-6	2.21527E-6	0.351563	-1.69983E-6	3.65265E-6	0.351563	-1.19141E-6	4.89197E-6
