Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs
770,989624	2,851498721E-4	770,989624	0,003565138439	770,989624	0,005066642538	770,989624	0,006505241152	770,989624	0,004943646491	770,989624	0,00372460857	770,989624	0,002853106009	770,989624	0,003851934569
770,0067749	5,668064696E-4	770,0067749	0,004136437085	770,0067749	0,005243066233	770,0067749	0,006520665716	770,0067749	0,004764806014	770,0067749	0,003710797289	770,0067749	0,003086349228	770,0067749	0,003607734805
769,0235596	7,335026166E-4	769,0235596	0,004040719941	769,0235596	0,005445956718	769,0235596	0,007114708424	769,0235596	0,005188572686	769,0235596	0,003980185837	769,0235596	0,003710301127	769,0235596	0,003967724741
768,039978	2,763170633E-4	768,039978	0,003839607583	768,039978	0,004856416024	768,039978	0,006387747824	768,039978	0,004895316903	768,039978	0,00396466814	768,039978	0,003537134733	768,039978	0,00377837033
767,0560303	6,239115028E-4	767,0560303	0,004329608288	767,0560303	0,005540542305	767,0560303	0,006892994512	767,0560303	0,005249485373	767,0560303	0,004334994126	767,0560303	0,004085374996	767,0560303	0,004272615071
765,9310913	5,492332275E-4	765,9310913	0,00387604069	765,9310913	0,005076306406	765,9310913	0,006673050113	765,9310913	0,004970065318	765,9310913	0,003716279985	765,9310913	0,003291077446	765,9310913	0,003658427624
764,9464111	4,132848699E-4	764,9464111	0,003623552853	764,9464111	0,005045691039	764,9464111	0,006811103784	764,9464111	0,005058025941	764,9464111	0,003645793069	764,9464111	0,003136850661	764,9464111	0,003566991538
763,9613037	6,707313005E-4	763,9613037	0,003753564321	763,9613037	0,005382002797	763,9613037	0,007023778278	763,9613037	0,004871729761	763,9613037	0,003857941367	763,9613037	0,003384933807	763,9613037	0,00389693561
762,9758911	6,589092081E-4	762,9758911	0,003588889493	762,9758911	0,005147995427	762,9758911	0,006545998156	762,9758911	0,004902176093	762,9758911	0,003897980321	762,9758911	0,003386812285	762,9758911	0,003846528474
761,9901123	8,715743897E-4	761,9901123	0,004159304779	761,9901123	0,005213958677	761,9901123	0,006747447886	761,9901123	0,005206046626	761,9901123	0,004165211227	761,9901123	0,003605072387	761,9901123	0,003943247721
761,0039673	6,505353958E-4	761,0039673	0,00389599544	761,0039673	0,005298588425	761,0039673	0,006970376242	761,0039673	0,004851363599	761,0039673	0,003705079667	761,0039673	0,003418563167	761,0039673	0,003461432178
760,017395	5,330084241E-4	760,017395	0,003986795433	760,017395	0,005211679265	760,017395	0,006924923975	760,017395	0,004956973717	760,017395	0,004106123	760,017395	0,003401865717	760,017395	0,003953696694
759,0305786	3,575287992E-4	759,0305786	0,00359750283	759,0305786	0,005059125833	759,0305786	0,006672655698	759,0305786	0,00481202174	759,0305786	0,003623161232	759,0305786	0,003445828799	759,0305786	0,00375082274
758,043335	6,359399995E-4	758,043335	0,003953356761	758,043335	0,005345967133	758,043335	0,006520718336	758,043335	0,004740074743	758,043335	0,003859142773	758,043335	0,003208846087	758,043335	0,003626580816
757,0557251	0,001009041443	757,0557251	0,004095487762	757,0557251	0,005567154381	757,0557251	0,007447412703	757,0557251	0,005360616837	757,0557251	0,004484468605	757,0557251	0,003444185015	757,0557251	0,004394034855
756,0678101	6,824759184E-4	756,0678101	0,004296718631	756,0678101	0,005325500388	756,0678101	0,007087974809	756,0678101	0,005062163807	756,0678101	0,004257636145	756,0678101	0,003705392824	756,0678101	0,004085897468
754,9382935	0,00116004853	754,9382935	0,004503640346	754,9382935	0,005410833284	754,9382935	0,006771347485	754,9382935	0,005265206099	754,9382935	0,004540652037	754,9382935	0,003651535837	754,9382935	0,004087230191
753,949585	2,343830274E-4	753,949585	0,003961167764	753,949585	0,005277154036	753,949585	0,006941073574	753,949585	0,005066642538	753,949585	0,003683358431	753,949585	0,003629138926	753,949585	0,004032620229
752,9605103	8,082385175E-4	752,9605103	0,003928828519	752,9605103	0,005204893649	752,9605103	0,006516855676	752,9605103	0,005100795068	752,9605103	0,004014331382	752,9605103	0,003384151263	752,9605103	0,004114511423
751,9710693	6,315588835E-4	751,9710693	0,003823128762	751,9710693	0,004881808534	751,9710693	0,006861567032	751,9710693	0,005107893143	751,9710693	0,00362720713	751,9710693	0,003536795499	751,9710693	0,00386358262
750,9812622	1,309250802E-4	750,9812622	0,003543633269	750,9812622	0,004543058574	750,9812622	0,006105993874	750,9812622	0,004527573474	750,9812622	0,003279053373	750,9812622	0,002853940008	750,9812622	0,003026390914
749,9911499	8,129844791E-4	749,9911499	0,004224569071	749,9911499	0,005336742382	749,9911499	0,006690978073	749,9911499	0,005141498987	749,9911499	0,004342079628	749,9911499	0,003857706208	749,9911499	0,003842166858
749,0006714	7,803860935E-4	749,0006714	0,003770797746	749,0006714	0,005254594609	749,0006714	0,006639824715	749,0006714	0,004884295631	749,0006714	0,004257061053	749,0006714	0,003312753048	749,0006714	0,004110042937
748,0098267	0,001155714039	748,0098267	0,004084799904	748,0098267	0,005142468493	748,0098267	0,007010361645	748,0098267	0,005280665122	748,0098267	0,004067109898	748,0098267	0,003677876201	748,0098267	0,004023136105
747,0186157	6,484354963E-4	747,0186157	0,003659915645	747,0186157	0,005133588333	747,0186157	0,006503690965	747,0186157	0,004821654409	747,0186157	0,00383096328	747,0186157	0,003305058228	747,0186157	0,004060081206
746,0270996	1,9066612E-4	746,0270996	0,00367210689	746,0270996	0,005026050378	746,0270996	0,007000838406	746,0270996	0,004876127932	746,0270996	0,00400808733	746,0270996	0,003447916126	746,0270996	0,003626606893
745,0352173	6,03614084E-4	745,0352173	0,004226267803	745,0352173	0,005360800307	745,0352173	0,006717397831	745,0352173	0,004943856038	745,0352173	0,003917439841	745,0352173	0,003663883545	745,0352173	0,003814928932
744,0429688	8,326951647E-4	744,0429688	0,003749491181	744,0429688	0,005276289303	744,0429688	0,006982029416	744,0429688	0,005055354908	744,0429688	0,004024207592	744,0429688	0,003421615809	744,0429688	0,004080384038
743,050354	0,00111180055	743,050354	0,004164740909	743,050354	0,005439456087	743,050354	0,006940731779	743,050354	0,005230830517	743,050354	0,003760170424	743,050354	0,003276445204	743,050354	0,004164270591
742,057373	5,188834621E-4	742,057373	0,003894689493	742,057373	0,005393351428	742,057373	0,007133628242	742,057373	0,005121356342	742,057373	0,004194536246	742,057373	0,003107414581	742,057373	0,004192314576
741,0640869	8,223988116E-4	741,0640869	0,003985384479	741,0640869	0,005336664151	741,0640869	0,006732856389	741,0640869	0,004938148428	741,0640869	0,003965765238	741,0640869	0,003611597931	741,0640869	0,004070140887
