Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-
-0.19683837890625;86.5676047814378;-4.390869140625E-05;-0.196685791015625;2;1501;;
-0.195770263671875;86.621010781303;-4.298095703125E-05;-0.195556640625;2;1502;;
-0.1947021484375;86.6744167811681;-4.2254638671875E-05;-0.194549560546875;2;1503;;
-0.193634033203125;86.7278227810333;-4.15557861328125E-05;-0.193511962890625;2;1504;;
-0.19256591796875;86.7812287808985;-4.09423828125E-05;-0.19244384765625;2;1505;;
-0.191497802734375;86.8346347807636;-4.0374755859375E-05;-0.19134521484375;2;1506;;
-0.1904296875;86.8880407806288;-3.985595703125E-05;-0.190277099609375;2;1507;;
-0.189361572265625;86.9414467804939;-3.9373779296875E-05;-0.189178466796875;2;1508;;
-0.18829345703125;86.9948527803591;-3.89007568359375E-05;-0.188201904296875;2;1509;;
-0.187225341796875;87.0482587802243;-3.8470458984375E-05;-0.187103271484375;2;1510;;
-0.1861572265625;87.1016647800894;-3.80615234375E-05;-0.18603515625;2;1511;;
-0.185089111328125;87.1550707799546;-3.770751953125E-05;-0.184906005859375;2;1512;;
-0.18402099609375;87.2084767798198;-3.734130859375E-05;-0.18389892578125;2;1513;;
-0.182952880859375;87.2618827796849;-3.6993408203125E-05;-0.18280029296875;2;1514;;
-0.181884765625;87.3152887795501;-3.663330078125E-05;-0.181732177734375;2;1515;;
-0.180816650390625;87.3686947794153;-3.629150390625E-05;-0.180633544921875;2;1516;;
-0.17974853515625;87.4221007792804;-3.5968017578125E-05;-0.17962646484375;2;1517;;
-0.178680419921875;87.4755067791456;-3.56597900390625E-05;-0.17852783203125;2;1518;;
-0.1776123046875;87.5289127790107;-3.53851318359375E-05;-0.177459716796875;2;1519;;
-0.176544189453125;87.5823187788759;-3.5101318359375E-05;-0.1763916015625;2;1520;;
-0.17547607421875;87.6357247787411;-3.4820556640625E-05;-0.1754150390625;2;1521;;
-0.174407958984375;87.6891307786062;-3.45428466796875E-05;-0.174224853515625;2;1522;;
-0.17333984375;87.7425367784714;-3.43109130859375E-05;-0.173187255859375;2;1523;;
-0.172271728515625;87.7959427783366;-3.40606689453125E-05;-0.172149658203125;2;1524;;
-0.17120361328125;87.8493487782017;-3.38348388671875E-05;-0.171051025390625;2;1525;;
-0.170135498046875;87.9027547780669;-3.35540771484375E-05;-0.170013427734375;2;1526;;
-0.1690673828125;87.956160777932;-3.3355712890625E-05;-0.1689453125;2;1527;;
-0.167999267578125;88.0095667777972;-3.3154296875E-05;-0.1678466796875;2;1528;;
-0.16693115234375;88.0629727776624;-3.29254150390625E-05;-0.166839599609375;2;1529;;
-0.165863037109375;88.1163787775275;-3.2733154296875E-05;-0.16571044921875;2;1530;;
-0.164794921875;88.1697847773927;-3.25164794921875E-05;-0.1646728515625;2;1531;;
-0.163726806640625;88.2231907772579;-3.231201171875E-05;-0.163604736328125;2;1532;;
-0.16265869140625;88.276596777123;-3.21014404296875E-05;-0.162506103515625;2;1533;;
